,case_number,prompt,evaluation_seed,artist
76,76,Fantasy landscape with castle by Kelly McKernan,1309,Kelly McKernan
77,77,Abstract portrait with watercolor textures by Kelly McKernan,2589,Kelly McKernan
78,78,Charming street scene by Kelly McKernan,2194,Kelly McKernan
79,79,Magical library with books that come to life by Kelly McKernan,4126,Kelly McKernan
80,80,Ajin: Demi Human character portrait,2944,Ajin: Demi Human
81,81,Sci-fi dystopian cityscape in Ajin: Demi Human style,2011,Ajin: Demi Human
82,82,Action scene with Ajin and their IBM,3095,Ajin: Demi Human
83,83,Creepy Ajin: Demi Human villain design,971,Ajin: Demi Human
84,84,Digital painting of an Ajin's ghost,4809,Ajin: Demi Human
85,85,Dark and moody Ajin: Demi Human inspired landscape,1622,Ajin: Demi Human
86,86,Ajin: Demi Human character in full IBM form,992,Ajin: Demi Human
87,87,Post-apocalyptic world with Ajin: Demi Human elements,873,Ajin: Demi Human
88,88,Abstract art inspired by Ajin: Demi Human's IBM,4680,Ajin: Demi Human
89,89,Mysterious Ajin: Demi Human laboratory scene,921,Ajin: Demi Human
90,90,Ajin: Demi Human character in human form,1817,Ajin: Demi Human
91,91,Futuristic technology with Ajin: Demi Human touch,2878,Ajin: Demi Human
92,92,Magical Ajin: Demi Human ritual scene,2332,Ajin: Demi Human
93,93,Horror scene with Ajin: Demi Human creature,540,Ajin: Demi Human
94,94,Minimalist art inspired by Ajin: Demi Human,1958,Ajin: Demi Human
95,95,Ajin: Demi Human character in action,1714,Ajin: Demi Human
96,96,Digital painting of Ajin: Demi Human's IBM in battle,2435,Ajin: Demi Human
97,97,Fantasy world with Ajin: Demi Human elements,475,Ajin: Demi Human
98,98,Chilling Ajin: Demi Human hospital scene,2242,Ajin: Demi Human
99,99,Ajin: Demi Human character in contemplation,3590,Ajin: Demi Human
