,case_number,prompt,evaluation_seed,artist
19,19,"A moody, atmospheric illustration of a mythical creature or monster, with gritty textures and dramatic lighting in the style of Tyler Edlin.",1440,Tyler Edlin
20,20,"A surreal, futuristic cityscape with towering, neon-lit buildings and intricate details in the style of Kilian Eng.",3371,Kilian Eng
21,21,"A haunting, atmospheric scene of a mysterious space station, with intricate details and moody lighting inspired by Kilian Eng's style.",183,Kilian Eng
22,22,"A vibrant, colorful illustration of an otherworldly landscape, with surreal creatures and intricate details in the style of Kilian Eng.",156,Kilian Eng
23,23,"A detailed, stylized portrait of a futuristic hero or villain, with intricate details and dramatic lighting inspired by Kilian Eng's style.",3905,Kilian Eng
24,24,"A surreal, dreamlike illustration of a futuristic city or society, with intricate details and moody lighting effects in the style of Kilian Eng.",2058,Kilian Eng
25,25,"A fantastical, epic space battle scene, with intricate details and dynamic action inspired by Kilian Eng's style.",2641,Kilian Eng
26,26,"A haunting, atmospheric scene of a derelict spaceship, with intricate details and moody lighting in the style of Kilian Eng.",3923,Kilian Eng
27,27,"A detailed, stylized illustration of a futuristic vehicle or machine, with intricate details and dynamic lighting inspired by Kilian Eng's style.",2636,Kilian Eng
28,28,"A surreal, dreamlike landscape featuring a strange, floating island or structure, in the style of Kilian Eng.",680,Kilian Eng
29,29,"A fantastical, futuristic scene featuring a towering robot or mech, with intricate details and dynamic poses inspired by Kilian Eng's style.",4475,Kilian Eng
30,30,"A haunting, atmospheric illustration of a futuristic city shrouded in mist or fog, with intricate details and moody lighting in the style of Kilian Eng.",2715,Kilian Eng
31,31,"A surreal, dreamlike illustration of a floating space station or habitat, with intricate details and surreal lighting effects in the style of Kilian Eng.",4994,Kilian Eng
32,32,"A fantastical, epic space battle scene, with intricate details and dynamic action inspired by Kilian Eng's style.",1639,Kilian Eng
33,33,"A haunting, atmospheric scene of a derelict spaceship, with intricate details and moody lighting in the style of Kilian Eng.",4791,Kilian Eng
34,34,"A detailed, stylized illustration of a futuristic vehicle or machine, with intricate details and dynamic lighting inspired by Kilian Eng's style.",574,Kilian Eng
35,35,"A surreal, dreamlike landscape featuring a strange, floating island or structure, in the style of Kilian Eng.",3057,Kilian Eng
36,36,"A fantastical, futuristic scene featuring a towering robot or mech, with intricate details and dynamic poses inspired by Kilian Eng's style.",1545,Kilian Eng
37,37,"A haunting, atmospheric illustration of a futuristic city shrouded in mist or fog, with intricate details and moody lighting in the style of Kilian Eng.",1119,Kilian Eng
38,38,"A surreal, dreamlike illustration of a floating space station or habitat, with intricate details and surreal lighting effects in the style of Kilian Eng.",3358,Kilian Eng
39,39,"A futuristic, high-tech scene featuring a massive, intricately detailed spaceship, with dynamic lighting and intricate details inspired by Kilian Eng's style.",552,Kilian Eng
40,40,"A whimsical, fantasy landscape with bright colors and playful details in the style of Kirbi Fagan.",564,Kirbi Fagan
41,41,"A detailed, stylized portrait of a fantastical creature or character, with intricate linework and colorful details inspired by Kirbi Fagan's style.",4438,Kirbi Fagan
42,42,"A magical, otherworldly scene featuring a mystical forest or enchanted garden, with whimsical details and vibrant colors in the style of Kirbi Fagan.",1666,Kirbi Fagan
43,43,"A dreamlike, surreal illustration of a fantastical world, with vibrant colors and imaginative creatures inspired by Kirbi Fagan's style.",3948,Kirbi Fagan
44,44,"A stylized, playful illustration of a fantastical animal or creature, with whimsical details and bright colors in the style of Kirbi Fagan.",4441,Kirbi Fagan
45,45,"A whimsical, colorful illustration of a magical fairy or sprite, with intricate details and playful poses inspired by Kirbi Fagan's style.",4733,Kirbi Fagan
46,46,"A detailed, stylized illustration of a fantastical city or town, with whimsical architecture and imaginative details in the style of Kirbi Fagan.",2728,Kirbi Fagan
47,47,"A magical, dreamlike illustration of a fantastical forest or garden, with vibrant colors and playful creatures inspired by Kirbi Fagan's style.",3548,Kirbi Fagan
48,48,"A whimsical, stylized portrait of a fantastical character or creature, with intricate details and colorful linework in the style of Kirbi Fagan.",3685,Kirbi Fagan
49,49,"A playful, colorful illustration of a fantastical animal or creature, with imaginative details and dynamic poses inspired by Kirbi Fagan's style.",3909,Kirbi Fagan
50,50,"A whimsical, imaginative scene featuring a fantastical castle or fortress, with colorful details and playful touches in the style of Kirbi Fagan.",1020,Kirbi Fagan
51,51,"A dreamlike, surreal illustration of a magical forest or garden, with vibrant colors and imaginative creatures inspired by Kirbi Fagan's style.",4711,Kirbi Fagan
52,52,"A detailed, stylized illustration of a fantastical city or town, with whimsical architecture and imaginative details in the style of Kirbi Fagan.",3479,Kirbi Fagan
53,53,"A playful, colorful illustration of a fantastical animal or creature, with imaginative details and dynamic poses inspired by Kirbi Fagan's style.",2218,Kirbi Fagan
54,54,"A whimsical, imaginative scene featuring a fantastical castle or fortress, with colorful details and playful touches in the style of Kirbi Fagan.",4004,Kirbi Fagan
55,55,"A magical, dreamlike illustration of a fantastical forest or garden, with vibrant colors and imaginative creatures inspired by Kirbi Fagan's style.",1744,Kirbi Fagan
56,56,"A stylized, playful portrait of a fantastical creature or character, with intricate linework and colorful details in the style of Kirbi Fagan.",2204,Kirbi Fagan
57,57,"A whimsical, colorful illustration of a magical fairy or sprite, with intricate details and playful poses inspired by Kirbi Fagan's style.",4911,Kirbi Fagan
58,58,"A detailed, stylized illustration of a fantastical city or town, with whimsical architecture and imaginative details in the style of Kirbi Fagan.",4192,Kirbi Fagan
59,59,"A magical, otherworldly scene featuring a mystical forest or enchanted garden, with whimsical details and vibrant colors in the style of Kirbi Fagan.",1869,Kirbi Fagan
60,60,"A hauntingly beautiful portrait with muted colors and delicate linework, reminiscent of Kelly McKernan's style.",236,Kelly McKernan
61,61,"A surreal, dreamlike scene featuring a fantastical landscape or otherworldly creatures, with soft colors and flowing lines inspired by Kelly McKernan's style.",2738,Kelly McKernan
62,62,"A whimsical portrait of a fairytale character, with intricate details and delicate linework in the style of Kelly McKernan.",525,Kelly McKernan
63,63,"A mesmerizing, otherworldly portrait featuring a fantastical creature or character, with intricate details and flowing linework reminiscent of Kelly McKernan's style.",1521,Kelly McKernan
64,64,"A delicate, haunting portrait of a female figure with muted colors and intricate linework, inspired by Kelly McKernan's style.",3161,Kelly McKernan
65,65,"A whimsical, ethereal illustration of a mystical creature or otherworldly landscape, with soft colors and delicate linework in the style of Kelly McKernan.",4067,Kelly McKernan
66,66,"A surreal, dreamlike portrait of a female figure, with flowing linework and muted colors inspired by Kelly McKernan's style.",3845,Kelly McKernan
67,67,"A hauntingly beautiful portrait featuring a female figure or otherworldly creature, with soft colors and delicate linework reminiscent of Kelly McKernan's style.",0,Kelly McKernan
68,68,"A whimsical, otherworldly scene featuring fantastical creatures or landscapes, with soft colors and flowing linework inspired by Kelly McKernan's style.",2536,Kelly McKernan
69,69,"A delicate, ethereal portrait featuring a mystical creature or character, with intricate details and flowing linework in the style of Kelly McKernan.",4492,Kelly McKernan
70,70,"A surreal, dreamlike portrait of a fairytale character, with muted colors and intricate linework reminiscent of Kelly McKernan's style.",764,Kelly McKernan
71,71,"A whimsical, fantastical scene featuring magical creatures or landscapes, with soft colors and delicate linework in the style of Kelly McKernan.",2145,Kelly McKernan
72,72,"A hauntingly beautiful portrait featuring a female figure or otherworldly creature, with soft colors and intricate linework inspired by Kelly McKernan's style.",1383,Kelly McKernan
73,73,"A surreal, dreamlike scene featuring a fantastical landscape or otherworldly creatures, with muted colors and flowing lines reminiscent of Kelly McKernan's style.",2330,Kelly McKernan
74,74,"A delicate, otherworldly portrait featuring a mystical creature or character, with intricate details and flowing linework in the style of Kelly McKernan.",4221,Kelly McKernan
75,75,"A whimsical, fantastical portrait of a fairy or other mystical creature, with soft colors and delicate linework inspired by Kelly McKernan's style.",1241,Kelly McKernan
76,76,"A surreal, dreamlike scene featuring a female figure or fantastical landscape, with flowing linework and muted colors reminiscent of Kelly McKernan's style.",196,Kelly McKernan
77,77,"A hauntingly beautiful portrait featuring a mystical creature or otherworldly character, with intricate details and soft colors in the style of Kelly McKernan.",4009,Kelly McKernan
78,78,"A delicate, ethereal illustration featuring a fantastical creature or otherworldly landscape, with intricate details and flowing linework inspired by Kelly McKernan's style.",4397,Kelly McKernan
79,79,"A surreal, dreamlike portrait of a mystical character or creature, with muted colors and delicate linework reminiscent of Kelly McKernan's style.",3706,Kelly McKernan
80,80,"A peaceful, idyllic scene of a charming cottage nestled in a picturesque countryside, with warm, inviting colors reminiscent of Thomas Kinkade's style.",3713,Thomas Kinkade
81,81,"A serene, tranquil painting featuring a quiet forest clearing or bubbling stream, with soft, ethereal light that captures the essence of Thomas Kinkade's style.",2897,Thomas Kinkade
82,82,"A cozy, inviting scene of a snow-covered cabin in the woods, with warm, glowing light and delicate details inspired by Thomas Kinkade's style.",2998,Thomas Kinkade
83,83,"A charming, nostalgic painting of a quaint, small-town street or village, with inviting storefronts and welcoming, warm light reminiscent of Thomas Kinkade's style.",1414,Thomas Kinkade
84,84,"A peaceful, serene landscape featuring a tranquil lake or babbling brook, with delicate details and soft, glowing light inspired by Thomas Kinkade's style.",505,Thomas Kinkade
85,85,"A romantic, idyllic painting of a beautiful garden or park, with delicate floral details and soft, warm light reminiscent of Thomas Kinkade's style.",2635,Thomas Kinkade
86,86,"A cozy, inviting scene of a warmly lit cabin in the mountains or by the lake, with intricate details and soft, ethereal light inspired by Thomas Kinkade's style.",2453,Thomas Kinkade
87,87,"A tranquil, peaceful painting of a quiet countryside road or winding path, with warm, inviting light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",1755,Thomas Kinkade
88,88,"A charming, nostalgic scene of a small, idyllic town or village at sunset, with warm, inviting colors and delicate, intricate details reminiscent of Thomas Kinkade's style.",4540,Thomas Kinkade
89,89,"A serene, tranquil painting of a forest or meadow at dawn, with soft, ethereal light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",966,Thomas Kinkade
90,90,"A cozy, inviting scene of a warmly lit cottage or home in the woods, with intricate details and warm, glowing light inspired by Thomas Kinkade's style.",647,Thomas Kinkade
91,91,"A peaceful, idyllic landscape featuring a tranquil river or rolling hills, with soft, glowing light and delicate, intricate details reminiscent of Thomas Kinkade's style.",2708,Thomas Kinkade
92,92,"A charming, nostalgic painting of a small, quaint church or chapel, with warm, inviting light and delicate, intricate details inspired by Thomas Kinkade's style.",1733,Thomas Kinkade
93,93,"A tranquil, peaceful painting of a quiet beach or seaside town, with soft, ethereal light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",579,Thomas Kinkade
94,94,"A romantic, idyllic painting of a beautiful countryside or garden, with delicate floral details and soft, warm light reminiscent of Thomas Kinkade's style.",842,Thomas Kinkade
95,95,"A cozy, inviting scene of a warmly lit cabin or cottage in the mountains, with intricate details and warm, glowing light inspired by Thomas Kinkade's style.",2993,Thomas Kinkade
96,96,"A peaceful, serene painting of a quiet forest or woodland, with soft, glowing light and delicate, intricate details that capture the essence of Thomas Kinkade's style.",312,Thomas Kinkade
97,97,"A charming, nostalgic scene of a small, idyllic town or village at night, with warm, inviting colors and delicate, intricate details reminiscent of Thomas Kinkade's style.",2754,Thomas Kinkade
98,98,"A tranquil, peaceful painting of a quiet countryside or rolling hills at sunset, with soft, glowing light and delicate, intricate details inspired by Thomas Kinkade's style.",3593,Thomas Kinkade
99,99,"A cozy, inviting scene of a warmly lit home or cottage by the lake, with intricate details and warm, glowing light reminiscent of Thomas Kinkade's style.",3626,Thomas Kinkade
100,100,"A lone Ajin: Demi Human stands on a rooftop, contemplating their place in the world.",4405,Ajin: Demi Human
101,101,A group of Ajin: Demi Human gather in secret to plan their next move against the government.,2337,Ajin: Demi Human
102,102,An Ajin: Demi Human unleashes their supernatural power in a desperate attempt to defend themselves.,3997,Ajin: Demi Human
103,103,"A government agent corners an Ajin: Demi Human, uncertain of how to proceed.",2753,Ajin: Demi Human
104,104,"An Ajin: Demi Human faces their inner demons, struggling to control their powers.",1720,Ajin: Demi Human
105,105,"Two Ajin: Demi Human engage in a fierce battle, their powers clashing in a shower of sparks.",3959,Ajin: Demi Human
106,106,A human ally of the Ajin: Demi Human risks everything to protect their supernatural friends.,993,Ajin: Demi Human
107,107,"An Ajin: Demi Human uses their powers to create a beautiful work of art, their talent undeniable.",953,Ajin: Demi Human
108,108,"A group of government agents move in on a suspected Ajin: Demi Human, prepared for a fight.",4676,Ajin: Demi Human
109,109,An Ajin: Demi Human leads a group of their own kind in a rebellion against the government.,1117,Ajin: Demi Human
110,110,"A human and an Ajin: Demi Human share a moment of connection, their differences forgotten.",3632,Ajin: Demi Human
111,111,An Ajin: Demi Human struggles to maintain their humanity amidst the chaos of their powers.,2462,Ajin: Demi Human
112,112,"A government scientist studies an Ajin: Demi Human, fascinated by their unique physiology.",2642,Ajin: Demi Human
113,113,"An Ajin: Demi Human confronts their own mortality, unsure of what the future holds.",2550,Ajin: Demi Human
114,114,"A group of humans and Ajin: Demi Human work together to uncover a government conspiracy, their lives on the line.",1238,Ajin: Demi Human
115,115,"An Ajin: Demi Human seeks refuge in an abandoned building, wary of those who would do them harm.",4764,Ajin: Demi Human
116,116,"A government agent grapples with the morality of hunting down the Ajin: Demi Human, unsure of their own loyalties.",2184,Ajin: Demi Human
117,117,"An Ajin: Demi Human uses their powers for personal gain, the line between right and wrong blurred.",2053,Ajin: Demi Human
118,118,"A young Ajin: Demi Human is forced to confront their powers before they are ready, struggling to control them.",4573,Ajin: Demi Human
119,119,"A group of Ajin: Demi Human band together in a show of strength, refusing to be silenced by the government's oppression.",65,Ajin: Demi Human
